,price,priceEpsCurrentYear,priceToBook,EV/EBITDA,PB,PS,EV,EV/GP,epsForward,trailingPE
NSC,256.66,18.571636,4.562358,12.22,4.54,4.93,72920000000,12.726003490401396,,
NTRS,99.4,13.786407,2.0419483,,,,,,,
NOC,455.57,18.489042,5.034813,,,,,,,
NCLH,16.0,-3.6036036,16.859852,-19.31,16.47,1.69,19310000000,-20.11353575334618,,
NRG,32.15,9.159545,1.4547511,,,,17890000000,2.748079877112135,,
NUE,155.13,5.4719577,2.2473814,3.38,2.28,0.98,43700000000,3.9547511312217196,,
NVDA,177.02,54.13456,20.46474,54.38,19.03,14.59,404780000000,23.15675057208238,,
NVR,4989.72,10.914603,5.195363,7.0,5.17,1.79,15190000000,7.165094339622642,,
NXPI,170.33,12.157744,6.2414804,11.09,6.13,3.52,50260000000,8.28006589785832,,
ORLY,809.74,24.672152,-42.182747,17.45,,3.84,57500000000,8.190883190883191,,
OXY,64.72,6.583927,3.1000621,,,1.91,,,,
ODFL,314.58,26.368816,9.809473,16.83,9.79,5.83,34560000000,17.28,,
OMC,83.68,12.433878,6.2123237,8.8,6.24,1.23,20220000000,7.488888888888889,,
ON,65.87,12.451797,5.035933,11.33,5.43,3.95,30670000000,11.317343173431734,,
OKE,70.12,18.260418,4.964951,13.22,5.02,1.39,45490000000,10.628504672897197,,
ORCL,88.6,18.044807,-56.218273,18.09,,5.3,322940000000,9.622765196662694,,
OGN,32.08,6.3274164,-7.654498,8.75,,1.3,16350000000,4.1603053435114505,,
OTIS,82.98,26.426752,-7.0363774,18.14,,2.56,40530000000,9.673031026252984,,
PCAR,101.61,12.498155,2.7407346,10.4,2.77,1.31,41220000000,13.044303797468354,,
PKG,133.5,12.12534,3.0940738,7.48,3.16,1.48,14580000000,7.75531914893617,,
PARA,20.64,10.530612,0.5914887,5.36,0.58,0.44,27080000000,2.4981549815498156,,
PH,314.71,16.476963,4.611744,,,,,,,
PAYX,118.42,27.86353,13.317589,20.15,13.53,9.06,42980000000,13.184049079754601,,
PAYC,310.3,52.593216,16.058582,41.45,16.98,13.74,17990000000,19.447597427166098,,
PYPL,80.18,19.65196,4.538405,19.86,4.47,3.43,90440000000,7.587248322147651,,
PNR,50.53,13.843835,3.149464,14.75,3.15,2.04,10720000000,8.121212121212121,,
PEP,176.06,25.96755,12.794128,16.31,12.72,2.91,273930000000,6.45604525100165,,
PKI,132.48,16.790874,2.366771,14.2,2.39,3.5,21040000000,7.280276816608996,,
PFE,46.08,7.133127,2.791712,,,,,,,
PCG,15.87,14.427272,1.4187378,18.0,,,,,,
PM,101.23,18.851025,-17.175095,13.29,,4.98,179510000000,8.396164639850328,,
PSX,102.51,5.1746597,1.7160506,3.92,1.72,0.3,62610000000,6.68196371398079,,
PNW,75.11,17.714624,1.3600478,10.21,1.37,2.08,17129999999,10.076470587647059,,
PXD,237.9,7.5595803,2.4644678,5.15,2.47,2.45,60550000000,6.448349307774228,,
PNC,161.85,11.278746,1.6577218,,1.42,3.34,,,,
POOL,353.97,18.828192,11.608238,14.17,11.45,2.28,15360000000,9.481481481481481,,
PPG,130.62,22.064188,5.087637,,,,,,,
PPL,30.59,21.85,1.6226395,,,,,,,
PFG,89.34,13.744615,2.3161879,,,,,,,
PG,150.44,25.71624,8.244643,16.7,7.3,4.43,354790000000,9.285265637267731,,
PGR,130.69,32.42928,5.353734,,,,,,,
PLD,121.42,32.994564,2.551859,,,,,,,
